text,author,tags
星际牛仔,1,9.1
攻壳机动队 S.A.C. 2nd GIG,2,9.1
攻壳机动队 STAND ALONE COMPLEX,3,9.0
CLANNAD ～AFTER STORY～,4,8.9
新世纪福音战士,5,8.9
银魂',6,8.9
攻壳机动队,7,8.9
新世纪福音战士剧场版 Air/真心为你,8,8.8
银魂,9,8.8
灌篮高手,10,8.8
浪客剑心 追忆篇,11,8.8
白箱,12,8.8
3月的狮子 第二季,13,8.8
钢之炼金术师 FULLMETAL ALCHEMIST,14,8.7
银河英雄传说,15,8.8
虫师,16,8.7
福音战士新剧场版：破,17,8.7
猫和老鼠,18,8.7
水星领航员 第三季,19,8.7
攻壳机动队2 无罪,20,8.6
蓝色恐惧,21,8.6
天元突破 红莲螺岩,22,8.6
凉宫春日的消失,23,8.6
水星领航员 The AVVENIRE,24,8.7
海贼王,25,8.5
命运石之门,26,8.5
大闹天宫,27,8.6
千与千寻,28,8.5
蜂蜜与四叶草,29,8.5
蜂蜜与四叶草II,30,8.5
虫师 续章 第2期,31,8.5
千年女优,32,8.5
混沌武士,33,8.5
虫师 续章,34,8.5
天空之城,35,8.5
瑞克和莫蒂 第二季,36,8.6
攻壳机动队2.0,37,8.5
少女与战车 剧场版,38,8.4
排球少年 乌野高校 VS 白鸟泽学园高校,39,8.4
机动警察 和平保卫战,40,8.5
CLANNAD,41,8.4
瑞克和莫蒂 第三季,42,8.6
魔法少女小圆,43,8.4
机动战士高达0080 口袋里的战争,44,8.4
红辣椒,45,8.4
四叠半神话大系,46,8.4
机动战士Z高达,47,8.4
怪物,48,8.4
幽灵公主,49,8.4
死亡笔记,50,8.4
新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,51,8.4
歌牌情缘2,52,8.4
星空清理者,53,8.4
空之境界 第五章 矛盾螺旋,54,8.3
攻壳机动队 S.A.C. Solid State Society,55,8.4
哆啦A梦 大山版,56,8.5
百变之星,57,8.4
JOJO的奇妙冒险,58,8.3
昭和元禄落语心中 -助六再临篇-,59,8.4
风之谷,60,8.3
银魂' 延长战,61,8.4
钢之炼金术师,62,8.3
福音战士新剧场版：序,63,8.3
JOJO的奇妙冒险 星尘斗士 埃及篇,64,8.3
水星领航员 OVA,65,8.4
瑞克和莫蒂 第一季,66,8.4
排球少年 第二季,67,8.3
棒球英豪,68,8.4
乒乓,69,8.3
数码兽大冒险,70,8.3
十二国记,71,8.3
少女革命,72,8.3
星际牛仔 天国之扉,73,8.3
日常,74,8.3
Code Geass 反叛的鲁路修,75,8.3
永生之酒,76,8.3
水星领航员 第二季,77,8.3
猎人,78,8.3
夏目友人帐 参,79,8.3
虫师 续章 铃之雫,80,8.3
哆啦A梦,81,8.3
皇家国教骑士团 OVA,82,8.3
王牌投手 振臂高挥,83,8.3
物怪,84,8.3
机器人总动员,85,8.3
棋魂,86,8.3
爆漫王。3,87,8.3
机动战士高达 逆袭的夏亚,88,8.3
太空丹迪 第二季,89,8.3
比宇宙更远的地方,90,8.3
王牌投手 振臂高挥～夏日大会篇～,91,8.3
飞跃巅峰！,92,8.3
FLCL,93,8.3
Heart Catch 光之美少女!,94,8.3
龙猫,95,8.2
新世纪福音战士剧场版 死与新生,96,8.2
水星领航员,97,8.2
虫师 蚀日之翳,98,8.3
电脑线圈,99,8.2
化物语,100,8.2
来自深渊,101,8.2
∀高达,102,8.3
东京教父,103,8.2
来自新世界,104,8.2
魔法少女小圆 剧场版 [新篇] 叛逆的物语,105,8.2
全金属狂潮 校园篇,106,8.2
终物语（下）,107,8.2
Fate/Zero,108,8.2
回忆三部曲,109,8.2
春宵苦短，少女前进吧！,110,8.2
幸运星,111,8.2
秒速5厘米,112,8.2
飞跃巅峰2！,113,8.2
日本动画（人）博览会,114,8.2
宇宙兄弟,115,8.2
交响诗篇,116,8.2
小马驹G4 第二季,117,8.4
3月的狮子,118,8.2
JOJO的奇妙冒险 星尘斗士,119,8.2
歌牌情缘,120,8.2
空之境界 第七章 杀人考察（后）,122,8.1
机动战士高达 第08MS小队,123,8.2
摇曳露营△,124,8.2
猎人 OVA,125,8.2
龙珠,126,8.2
凉宫春日的忧郁,127,8.1
爆漫王。2,128,8.1
白兔糖,129,8.1
Code Geass 反叛的鲁路修R2,130,8.1
冰菓,131,8.1
监狱兔 第一季,132,8.1
银魂°,134,8.2
小马驹G4 第一季,135,8.3
续 夏目友人帐,136,8.1
排球少年,137,8.1
夏目友人帐,138,8.1
天元突破红莲螺岩 螺岩篇,139,8.1
少女革命剧场版 思春期默示录,141,8.2
AIR,142,8.1
你的名字。,143,8.1
昭和元禄落语心中,144,8.1
狮子王,145,8.1
寒蝉鸣泣之时 解,146,8.1
龙与虎,147,8.1
黑客帝国动画版,148,8.1
搞笑漫画日和,149,8.1
吹响！悠风号,150,8.1
悠久之翼2,151,8.1
攻壳机动队 S.A.C. SSS 3D,152,8.2
攻壳机动队 笑面男,153,8.2
老人与海,154,8.2
心灵游戏,155,8.1
海马,156,8.1
夏目友人帐 肆,157,8.1
宇宙战舰大和号2199,158,8.1
怪诞小镇 第二季,159,8.3
穿越时空的少女,160,8.1
欢迎加入NHK！,161,8.1
山水情,162,8.3
NO GAME NO LIFE ZERO,163,8.1
夏日大作战,164,8.1
吊带袜天使,165,8.1
回忆积木小屋,166,8.1
攻壳机动队 个别的十一人,167,8.2
超时空要塞 可曾记得爱,168,8.1
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,169,8.2
寒蝉鸣泣之时,170,8.1
狼的孩子雨和雪,171,8.1
一拳超人,172,8.1
奇诺之旅,173,8.1
妄想代理人,174,8.1
伤物语III 冷血篇,175,8.1
黑礁 The Second Barrage,177,8.1
机动战士高达 THE ORIGIN,178,8.1
空之境界 第三章 痛觉残留,179,8.0
全金属狂潮 Invisible Victory,180,8.3
装甲骑兵VOTOMS,181,8.3
无限的未知,182,8.1
机动战舰,183,8.1
无头骑士异闻录,184,8.0
魔卡少女樱,185,8.0
命运石之门 0,186,8.2
四月是你的谎言,187,8.0
小魔女DoReMi 童年秘密篇,188,8.4
交响情人梦,189,8.0
校园迷糊大王,190,8.0
吹响！悠风号 第二季,191,8.0
超时空要塞,192,8.1
罗小黑战记,193,8.1
疯狂约会美丽都,194,8.2
空之境界 第一章 俯瞰风景,195,8.0
太空丹迪,196,8.0
龙珠Z,197,8.0
悠久之翼,198,8.0
机动警察 OVA2,199,8.2
萩萩公主,200,8.2
DARKER THAN BLACK -黑之契约者-,201,8.0
回转企鹅罐,202,8.0
蓝宝石之谜,203,8.0
小马驹G4 第四季,204,8.3
福星小子2 绮丽梦中人,205,8.2
精灵守护者,206,8.0
麻辣教师GTO,207,8.0
勇者王GaoGaiGar Final,208,8.2
人狼,209,8.0
机动战士高达,210,8.0
勇者王GaoGaiGar Final Grand Glorious Gathering,211,8.3
爆漫王。,212,8.0
搞笑漫画日和2,213,8.0
寻梦环游记,214,8.0
南方公园 第15季,215,8.1
银之匙 Silver Spoon 第二季,216,8.0
红猪,217,8.0
天体战士 第2期,218,8.0
天体战士,219,8.0
男子高中生的日常,220,8.0
少年同盟 2,221,8.0
魔法少女奈叶 The MOVIE 2nd A’s,222,8.0
JOJO的奇妙冒险 不灭钻石,223,8.0
剧场版 吹响！悠风号～想要传达的旋律～,224,8.2
星游记,225,8.0
搞笑漫画日和3,226,8.0
银之匙 Silver Spoon,227,8.0
秀逗魔导士NEXT,228,8.0
×××HOLiC◆继,229,8.0
监狱兔 第四季,230,8.0
悠哉日常大王,231,8.0
向阳素描 沙英・寻 毕业篇,232,8.1
交响情人梦Finale,233,8.0
悠哉日常大王 Repeat,234,8.0
恶魔人 crybaby,235,8.0
少女终末旅行,236,8.0
Fate/stay night [Heaven’s Feel] I.presage flower,237,8.1
小魔女DoReMi 大合奏,238,8.3
赌博默示录,239,8.0
机动战舰 -The prince of darkness-,240,8.0
物语系列 第二季,241,8.0
怪诞小镇 第一季,242,8.1
宇宙骑士BLADE,243,8.0
少女与战车 最终章 第1话,244,8.0
校园迷糊大王 二学期,245,8.0
机动警察,246,8.0
超时空要塞Plus,247,8.0
魔术师,248,8.2
灵异E接触,249,7.9
降世神通：最后的气宗 第三季,250,8.0
降世神通：最后的气宗 第二季,251,8.0
少年同盟,252,7.9
夏娃的时间 剧场版,253,7.9
最终流放,254,7.9
夏娃的时间,255,7.9
JOJO的奇妙冒险 幻影血脉,256,8.1
斩服少女,257,7.9
红线,258,8.0
魔法少女小圆 剧场版 [后篇] 永远的物语,259,7.9
有顶天家族,260,7.9
苍穹之法芙娜 EXODUS,261,8.0
银魂剧场版 完结篇 万事屋永不落,262,7.9
马男波杰克,263,8.1
空之境界 第二章 杀人考察（前）,264,7.9
月刊少女野崎君,265,7.9
圣母在上 第3季,266,8.0
异邦人 无皇刃谭,267,7.9
黑礁,268,7.9
娜娜,269,7.9
星界的纹章,270,8.0
THE BIG-O,271,8.0
摇滚新乐团,272,8.0
我们仍未知道那天所看见的花的名字。,273,7.9
热带雨林的爆笑生活,274,7.9
希德尼娅的骑士 第九惑星战役,275,7.9
银魂 JUMP动画巡回展 2005,276,8.0
疯狂动物城,277,7.9
超智游戏,278,7.9
月色真美,279,7.9
南方公园 第17季,280,8.1
幽游白书,281,7.9
猎人 OVA3,282,7.9
天元突破红莲螺岩 红莲篇,283,7.9
侧耳倾听,284,7.9
全金属狂潮 The Second Raid,285,7.9
重金属摇滚双面人,286,7.9
偶像大师,287,7.9
吸血鬼猎人D,288,7.9
猎人,289,7.9
兽娘动物园,290,7.9
银魂剧场版 新译红樱篇,291,7.9
蜡笔小新 呼风唤雨！大人帝国的反击,292,8.0
小马驹G4 第三季,293,8.1
南方公园 第16季,295,8.0
剑风传奇 黄金时代篇III 降临,296,7.9
辉夜姬物语,297,7.9
猎人 OVA2,298,7.9
热带雨林的爆笑生活FINAL,299,7.9
TIGER & BUNNY,300,7.9
秀逗魔导士,301,7.9
战斗妖精雪风,302,7.9
热带雨林的爆笑生活DELUXE,303,7.9
机动战士高达UC,304,7.9
凉宫春日的忧郁 2009,305,7.9
苍穹之法芙娜 EXODUS 第2期,306,7.9
玛丽和马克思,307,8.0
传说巨神伊迪安 发动篇,308,8.2
宝石之国,309,7.9
赌博默示录 破戒录篇,310,7.9
李献计历险记,311,7.9
空之境界 第四章 伽蓝之洞,312,7.9
圣母在上 春,313,7.9
剑豪生死斗,314,7.9
俗・再见绝望先生,315,7.9
轻音少女 剧场版,316,7.9
神枪少女,317,7.9
AIR 夏季篇,318,7.9
人类衰退之后,319,7.9
×××HOLiC,320,7.9
四叶游戏,321,7.9
搞笑漫画日和＋,322,7.9
星界的战旗II,323,8.0
游戏王－怪兽之决斗,324,7.9
数码暴龙03驯兽师之王,325,7.9
黑礁 Roberta’s Blood Trail,326,7.9
空之境界 未来福音,327,7.9
星界的战旗III,328,8.1
斗牌传说,329,7.9
葫芦兄弟,330,7.9
剑风传奇,331,7.9
向阳素描×蜂窝,332,7.9
圣母在上 第4季,333,7.9
伤物语II 热血篇,334,7.9
阿基拉,335,7.9
幸运星 OVA,336,7.9
灵能百分百,337,7.8
来来猫,338,8.0
罗德斯岛战记,339,7.9
再见绝望先生,340,7.8
哈尔的移动城堡,341,7.8
轻音少女,342,7.8
你看起来很好吃,343,7.8
阿滋漫画大王,344,7.8
降世神通：最后的气宗 第一季,345,7.9
草莓棉花糖,346,7.8
勇者王GaoGaiGar,347,8.0
希德尼娅的骑士,348,7.8
Megalo Box,349,7.9
真盖塔 世界最后之日,350,7.9
猫汤,351,7.8
来来猫 第二季,352,8.0
Heart Catch光之美少女 超级时尚秀在花之都...真的吗！？,353,7.9
剑风传奇 黄金时代篇II 多尔多雷攻略,354,7.8
现视研2,355,7.8
魔法少女奈叶A's,356,7.8
凡尔赛玫瑰,357,8.2
闪电十一人,358,7.9
魔法少女小圆 剧场版 [前篇] 起始的物语,359,7.8
全金属狂潮,360,7.8
忏・再见绝望先生,361,7.8
东方活动写真馆,363,7.9
进击的巨人,364,7.8
玲音,365,7.8
相聚一刻,366,8.0
元气囝仔,367,7.8
铳墓,368,7.9
好想告诉你 第二季,369,7.8
Kanon,370,7.8
魔卡少女樱 被封印的卡片,371,7.8
南方公园 第14季,372,8.0
鲁邦三世,373,7.9
×××HOLiC 笼,375,7.8
交响情人梦 巴黎篇,376,7.8
小马驹G4 第五季,377,8.1
狼与香辛料,378,7.8
狱・再见绝望先生,379,7.8
马男波杰克2,380,8.0
幻想万华镜 春雪异变之章,381,7.8
鲁邦三世：卡里奥斯特罗城,383,7.9
此时此刻的我,384,7.8
听到涛声,385,7.8
银河铁道999,386,8.1
有顶天家族2,387,7.8
玉子爱情故事,388,7.8
现视研,389,7.8
乌龙派出所,390,8.3
超时空要塞Plus 剧场版,391,7.9
探险活宝 第一季,392,8.0
食灵-零-,393,7.8
忏・再见绝望先生 番外地,394,7.8
空之境界 未来福音 extra chorus,395,7.8
飞出个未来 第1季,396,8.1
心理测量者,397,7.8
精灵宝可梦,398,7.8
寄生兽 生命的准则,399,7.8
日常 （ETV版）,400,7.8
好想告诉你,401,7.8
浪客剑心,402,7.8
Go! Princess 光之美少女,403,7.9
飞屋环游记,404,7.8
马男波杰克3,405,8.0
哈库梅伊与蜜珂析,406,7.8
苍穹之法芙娜 RIGHT OF LEFT,407,7.8
宇宙战舰大和号2199 第四章「银河边境的攻防」,408,7.9
九色鹿,409,7.8
NHK15个动画短片,410,7.8
魔女宅急便,411,7.7
刀语,412,7.8
江户盗贼团五叶,413,7.8
草莓棉花糖 OVA 第1期,414,7.8
圣母在上,415,7.8
王立宇宙军 欧尼亚米斯之翼,416,7.8
机动警察 东京毁灭战,417,7.8
萤火虫之墓,418,7.8
查理布朗和史努比,419,7.9
战国鬼才传,420,7.8
轻音少女 第二季,421,7.7
黑塔利亚 第2期,422,7.7
灰羽联盟,423,7.8
南家三姐妹 我回来了,424,7.7
放浪男孩,425,7.8
偶像大师 剧场版 向着光辉的彼岸！,426,7.8
秀逗魔导士TRY,427,7.8
东之伊甸,428,7.7
金田一少年事件簿,429,7.8
心理测量者 新编集版,430,7.7
头脑特工队,431,7.8
伪物语,432,7.7
RWBY预告片,433,7.8
变形金刚G1,434,7.9
女仆咖啡厅,435,7.7
不可思议的教室,436,7.8
向阳素描×365,437,7.8
灌篮高手 全国制霸吧！樱木花道,438,7.8
阿凡提的故事,439,7.7
数码暴龙大冒险 我们的战争游戏,440,7.8
境界线上的地平线 第二季,441,7.7
玉响～毕业写真～,442,7.8
×××HOLiC・笼 徒梦,443,7.7
奔向地球,444,7.8
星界的战旗,445,7.8
探险活宝 第五季,446,8.1
银河英雄传说外传 螺旋迷宫,447,8.2
高智能方程式：SIN,448,7.8
名侦探柯南 贝克街的亡灵,449,7.7
恶魔阿萨谢尔在召唤你,450,7.7
向阳素描×365 特别篇,451,7.8
重启咲良田,452,7.7
彩虹小马：友情就是魔法,453,8.0
南方公园 第11季,454,8.0
鲁邦三世 ～名为峰不二子的女人～,455,7.7
向阳素描×☆☆☆,456,7.7
甲贺忍法帖,457,7.7
大~集合！小魔女DoReMi,458,8.0
游戏王5D's,459,7.7
末日时在做什么？有没有空？可以来拯救吗？,460,7.7
宇宙战舰大和号2199 第三章「无尽的航海」,461,7.9
飞跃巅峰！剧场版,462,7.8
最终幻想VII：降临之子,463,7.7
草莓棉花糖 OVA 第2期,464,7.7
飞跃巅峰2！剧场版,465,7.8
狼与香辛料 第二季,466,7.7
光之美少女全明星DX3 传达到未来！连结世界☆彩虹之花！,467,7.8
校园迷糊大王 一学期补习,468,7.7
第一神拳,469,8.0
探险活宝 第四季,470,8.1
天才嘉年华,471,7.7
剑风传奇 黄金时代篇I 霸王之卵,472,7.7
荒川爆笑团2,473,7.7
翼神传说,474,7.7
南家三姐妹,475,7.7
铁臂阿童木,476,7.7
猫怪麦克,477,8.0
幻想嘉年华,478,7.7
我的英雄学院 第二季,479,7.7
小蝌蚪找妈妈,480,7.7
南方公园 第13季,481,7.9
×××HOLiC 春梦记,482,7.7
银翼杀手：2022大断电,483,7.7
剧场版 精灵宝可梦：超梦的逆袭,484,7.7
伤物语I 铁血篇,485,7.7
间之楔,486,7.7
齐木楠雄的灾难,487,7.7
五星物语 剧场版,488,7.7
迷糊餐厅 第二季,489,7.7
北斗神拳,490,7.7
小魔女学园 魔法游行,491,7.7
DARLING in the FRANXX,492,7.7
魔法使光之美少女！,493,7.8
荒川爆笑团,494,7.7
小魔女学园,495,7.7
我的三体 罗辑传,496,7.9
哪吒闹海,497,7.7
探险活宝 第三季,498,8.0
樱桃小丸子,499,7.7
高智能方程式：ZERO,500,7.7
怪医黑杰克 OVA,501,7.8
宇宙战舰大和号2199 第五章「望乡的银河间空间」,502,7.8
真实之泪,503,7.7
青之文学,504,7.7
机动战士高达 剧场版III 相逢在宇宙,505,7.8
怪 ～ayakashi ～,506,7.7
萤火之森,507,7.7
蜡笔小新,508,7.7
DARKER THAN BLACK -黑之契约者- 外传,509,7.7
圣诞夜惊魂,510,7.8
只有我不存在的城市,511,7.7
探险活宝 第二季,512,7.9
南方公园 第12季,513,8.0
圣斗士星矢 冥王十二宫编,514,7.7
棋魂～通往北斗之路～,515,7.7
南方公园 第18季,516,7.8
他和她的故事,517,7.7
花园墙外,518,7.9
兽爪,520,7.7
机动战士Z高达 星之继承者,521,7.7
鼹鼠的故事,522,7.8
花田少年史,523,7.7
宇宙战舰大和号2199 第七章「战舰继续前进」,524,7.9
避难所,525,7.7
×××HOLiC 仲夏夜之梦,526,7.7
失落的宇宙,527,7.7
猫物语（黑）,528,7.7
高智能方程式：SAGA,529,7.7
Flip Flappers,530,7.6
请问您今天要来点兔子吗？？,531,7.6
少年正义联盟 第一季,532,7.9
向阳素描×☆☆☆ 特别篇,533,7.7
城市猎人,534,7.7
命运石之门 负荷领域的既视感,535,7.6
原罪的卡辛,536,7.7
摇曳百合♪♪,537,7.6
机动战士Z高达III 星星的鼓动就是爱,538,7.7
樱兰高校男公关部,539,7.6
科拉传奇 第一季：气和,540,7.7
无敌破坏王,541,7.7
银河英雄传说 我的征途是星辰大海,542,7.9
钻石王牌 第二季,543,7.7
海洋之歌,544,7.7
高智能方程式：Cyber Formula 11,545,7.7
欢乐树伙伴,546,7.7
CLANNAD 另一个世界 智代篇,547,7.6
头文字D,548,7.6
空中杀手,549,7.6
魁!!库洛马迪高校,550,7.7
第四届东方M-1漫才大赛,551,7.7
摸索吧！部活剧 再来一个,552,7.7
小魔女学园,553,7.6
小魔女DoReMi ♯,554,7.8
地球防卫少年,555,7.6
借东西的小人阿丽埃蒂,556,7.6
南方公园 第7季,557,7.9
精神分裂症,558,7.7
世界第一初恋2,559,7.6
On Your Mark,560,7.6
数码暴龙大冒险 滚球兽的诞生,561,7.6
血界战线 & BEYOND,562,7.6
壳中少女 燃烧,563,7.6
魔方大厦,564,7.6
壳中少女 压缩,565,7.6
福音战士新剧场版：Q,566,7.6
黑塔利亚 第4期,567,7.6
美妙旋律 Rainbow Live,568,7.9
超时空要塞7,569,7.7
宇宙战舰大和号2199 第六章「到达！大麦哲伦」,570,7.8
恶魔阿萨谢尔在召唤你Z,571,7.6
机动武斗传G高达,572,7.7
父与女,573,7.8
黑塔利亚 第3期,574,7.6
乱马1/2,575,7.6
机动警察 EARLY DAYS,576,7.7
向阳素描×SP,577,7.7
人形电脑天使心,578,7.6
读或死 OVA,579,7.6
甜甜私房猫 第二季,580,7.7
悠哉日常大王 OAD,581,7.6
花开伊吕波 HOME SWEET HOME,582,7.6
飞跃巅峰！飞跃巅峰2！合体剧场版,583,7.7
恋如雨止,584,7.6
魔法少女奈叶 The MOVIE 1st,585,7.6
阿尔卑斯山的少女,586,7.8
视线之外,587,7.7
夏目友人帐 曾几何时下雪之日,588,7.6
妄想学生会＊,589,7.6
蜡笔小新 呼风唤雨！战国大合战,590,7.7
鲁邦三世 第一期,591,7.8
祖先大人万万岁,592,7.8
高达创战者,593,7.6
道子与哈金,594,7.6
佛兰德斯的狗,595,7.9
平成狸合战,596,7.6
妖精的旋律,597,7.6
进击的巨人 第二季,598,7.6
第一神拳 New Challenger,599,7.8
现视研 OVA,600,7.6
犬夜叉,601,7.6
迷糊餐厅,602,7.6
逮捕令 OVA,603,7.8
名侦探柯南,604,7.6
妄想学生会 OAD,605,7.6
贤治之春,606,7.8
风人物语,607,7.7
NEW GAME!!,608,7.6
南方公园 第1季,609,7.7
空中秋千,610,7.6
终物语,611,7.6
第三届东方M-1漫才大赛,612,7.8
OTAKU的录像带,613,7.7
幻想万华镜 红雾异变之章,614,7.6
Fate/stay night [Unlimited Blade Works],615,7.6
机动战士高达0083 星尘的回忆,616,7.6
少女与战车,617,7.6
天才麻将少女,618,7.6
幻想万华镜 华鸟风月,619,7.6
银河铁道之夜,620,7.7
昭和元禄落语心中 OAD,621,7.6
传说巨神伊迪安,622,7.8
西蒙,623,7.7
机动战士高达 剧场版II 哀・战士,624,7.7
宇宙巡警露露子,625,7.6
和巴什尔跳华尔兹,626,7.9
南方公园 第3季,627,7.8
南方公园 第9季,628,7.9
红白黑黄 第二季,629,7.6
宇宙战舰大和号2199 第一章「踏上遥远的征途」,630,7.7
灌篮高手 咆哮吧篮球员的灵魂！！花道和流川的灼热夏季,631,7.7
咱们裸熊,632,7.6
功夫兔与菜包狗,633,7.7
特别车队,634,7.9
雪孩子,635,7.6
宇宙战舰大和号2199 第二章「死战太阳系」,636,7.7
第六届东方M-1漫才大赛,637,7.7
向阳素描,638,7.6
监狱兔 第二季,639,7.6
阿松,640,7.6
南方公园 第10季,641,7.8
日常 OAD,642,7.6
玩具总动员3,643,7.6
夜行神龙,644,7.9
妄想学生会 OVA,645,7.6
少年犯之七人,646,7.6
花开伊吕波,647,7.6
南方公园 第8季,648,7.8
我的青春恋爱物语果然有问题,649,7.6
Daicon4 开幕动画,650,7.7
坂道上的阿波罗,651,7.6
时光钟摆,652,7.8
钻石王牌,653,7.6
黑塔利亚,654,7.6
恶魔阿萨谢尔在召唤你,655,7.6
乐园追放 -Expelled From Paradise-,656,7.6
岩窟王,657,7.6
悠哉日常大王 Repeat OAD,658,7.6
圣斗士星矢,659,7.6
糖果男孩,660,7.6
海月姬,661,7.6
黑塔利亚 第5期,662,7.6
甜甜私房猫,663,7.6
科学超电磁炮,664,7.6
逮捕令,665,7.6
东方梦想夏乡,666,7.6
空之境界,667,7.6
蝙蝠侠：黑暗骑士归来（下）,668,7.8
黑衣警探,669,7.8
空之境界 第六章 忘却录音,670,7.6
水果篮子,671,7.6
茄子 安达鲁西亚之夏,672,7.6
美妙天堂 第二期,673,7.9
翼·年代记 东京默示录,674,7.6
金色的卡修,675,7.6
飞翔的魔女,676,7.6
编舟记,677,7.6
南方公园 第5季,678,7.8
卫宫家今天的饭,679,7.6
ZEGAPAIN,680,7.6
在这世界的角落,681,7.6
福星小子,682,7.7
大都会,683,7.6
亡念之扎姆德,684,7.6
机动战士高达 雷霆宙域,685,7.6
超时空要塞 ZERO,686,7.6
鲁邦三世 次元大介的墓标,687,7.6
玻璃假面,688,7.6
嘟嘟猫观察日记,689,7.6
岁月的童话,690,7.6
摇曳百合,691,7.5
凉宫春日酱的忧郁,692,7.5
向阳素描 特别篇,693,7.6
中华一番！,694,7.6
CLANNAD ～AFTER STORY～另一个世界 杏篇,695,7.6
迷糊餐厅 第三季,696,7.5
机动战士高达00,697,7.6
灌篮高手 剧场版,698,7.6
漆黒のシャガ THE ANIMATION,699,7.6
星之声,700,7.5
科拉传奇 第三季：易,701,7.7
南方公园剧场版,702,7.8
超元气三姐妹 增量中！,703,7.5
月光旅程 -Touch down-,704,7.6
南方公园 第4季,705,7.8
现视研 二代目,706,7.5
偶像大师 SideM 序章 -Episode of Jupiter-,707,7.6
偶像活动 第一年,708,7.6
犬夜叉 完结篇,709,7.5
妄想学生会＊ OAD,710,7.5
苍穹之法芙娜,711,7.6
言叶之庭,712,7.5
冰雪奇缘,713,7.5
南方公园 第2季,714,7.7
蝙蝠侠 黑暗骑士归来（上）,715,7.7
狼雨,716,7.6
男子高中生的日常 特典,717,7.6
新机动战记高达W 无尽的华尔兹 剧场版,718,7.6
哆啦A梦：新大雄与铁人兵团,719,7.6
天才嘉年华BEYOND,720,7.6
名侦探柯南 通往天国的倒数计时,721,7.5
恋爱情结,722,7.6
NO GAME NO LIFE,723,7.5
奇幻旅程,724,7.8
圣枪修女,726,7.5
落叶,727,7.6
我的邻居山田君,728,7.6
妄想学生会,729,7.5
闪电十一人GO,730,7.6
魔法使光之美少女 奇迹的变身！Cure Mofurun！,731,7.8
